id,title,agency,deadline,golongan,jenis_pengadaan,bidang_usaha,status,source_url,page_found
1,Penyediaan Jasa-jasa Huff and Puff untuk Steam Generator #04,EMP BENTU LIMITED,05 Feb 2026,Besar Menengah Kecil,Barang dan Jasa,"INSTALASI SISTEM KELISTRIKAN, AIR (PIPA) DAN INSTALASI KONSTRUKSI LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENUNJANG PERTAMBANGAN DAN PENGGALIAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,1
2,Penyediaan Jasa-jasa Survei Microseepage,EMP BENTU LIMITED,05 Feb 2026,Besar Menengah,Jasa,ANALISIS DAN UJI TEKNIS LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); ANALISIS DAN UJI TEKNIS (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS ARSITEKTUR DAN KEINSINYURAN SERTA KONSULTASI TEKNIS YBDI (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS KEINSINYURAN DAN KONSULTASI TEKNIS YBDI (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,1
3,PQ No. SX14059740A : Provision of Slickline Portable and Associated Services for Offshore Area,PT PERTAMINA HULU MAHAKAM,06 Feb 2026,Besar,Jasa,AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,1
4,Pengadaan Pedestal Crane Untuk Proyek Pengembangan Lapangan Risma,PT PERTAMINA EP,05 Feb 2026,Menengah,Barang,"PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR MESIN KANTOR DAN INDUSTRI PENGOLAHAN, SUKU CADANG DAN PERLENGKAPANNYA (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,1
5,Pengadaan Material SBNP Tiaka Terminal.,JOB PERTAMINA - MEDCO E&P TOMORI SULAWESI,04 Feb 2026,Besar Menengah Kecil,Barang,"INDUSTRI PEMBUATAN KAPAL, PERAHU DAN STRUKTUR BANGUNAN TERAPUNG (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); INDUSTRI PENGECORAN LOGAM (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,1
6,PQ 373 - PROVISION OF SUPPLY & SERVICES WELLHEAD AND X-MAS TREE FOR HIDAYAH & BUKIT PANJANG DEVELOPM,PC KETAPANG II LTD,04 Feb 2026,Besar Menengah,Barang dan Jasa,Wellhead equipment (UNSPSC); Wellhead equipment services (UNSPSC); AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,1
7,CS78398 : ENDPOINT PROTECTION LICENSING SERVICES,PT MEDCO E&P INDONESIA,06 Feb 2026,Besar Menengah Kecil,Jasa,"PENERBITAN PIRANTI LUNAK (SOFTWARE) (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR KOMPUTER, PERLENGKAPAN KOMPUTER DAN PIRANTI LUNAK (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,2
8,General Services Contract for Tangguh Liaison Office (TLO) Fakfak 4420004320,BP BERAU LTD.,05 Feb 2026,Menengah Kecil,Jasa,PERGUDANGAN DAN PENYIMPANAN (SIUP-IUT-IUI-PROP KBLI 2020); REAL ESTAT YANG DIMILIKI SENDIRI ATAU DISEWA (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,2
9,Drone Patrol & Surveillance Rental Services,PETROCHINA INTERNATIONAL JABUNG LTD.,04 Feb 2026,Besar Menengah,Jasa,"AKTIVITAS FOTOGRAFI (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENUNJANG PERTAMBANGAN DAN PENGGALIAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS ANGKUTAN UDARA KHUSUS PEMOTRETAN, SURVEI DAN PEMETAAN (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,2
10,"Jasa Rig 550HP Untuk Sumur Pemboran di WK Belida, Sumatera Selatan",PT. SELE RAYA BELIDA,04 Feb 2026,Besar Menengah,Jasa,AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,2
